"","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Brazil","Argentina",0,"3","3","0","0","4","1","6","3","1","1","1","3","2","3","1990"
"2","Italy","Argentina",0,"3","3","0","0","4","0","6","3","1","1","1","3","2","3","1990"
"3","Yugoslavia","Argentina",0,"3","2","0","1","6","5","4","3","1","1","1","3","2","3","1990"
"4","Germany FR","Argentina",1,"3","2","1","0","10","3","5","3","1","1","1","3","2","3","1990"
"5","Cameroon","Colombia",1,"3","2","0","1","3","5","4","3","1","1","1","3","2","3","1990"
"6","Czechoslovakia","Costa Rica",1,"3","2","0","1","6","3","4","3","2","0","1","3","2","4","1990"
"7","England","Belgium",1,"3","1","2","0","2","1","4","3","2","0","1","6","3","4","1990"
"8","England","Cameroon",1,"3","1","2","0","2","1","4","3","2","0","1","3","5","4","1990"
"9","Germany FR","Netherlands",1,"3","2","1","0","10","3","5","3","0","3","0","2","2","3","1990"
"10","Germany FR","England",1,"3","2","1","0","10","3","5","3","1","2","0","2","1","4","1990"
"11","Italy","England",1,"3","3","0","0","4","0","6","3","1","2","0","2","1","4","1990"
"12","Germany FR","Czechoslovakia",1,"3","2","1","0","10","3","5","3","2","0","1","6","3","4","1990"
"13","Italy","Uruguay",1,"3","3","0","0","4","0","6","3","1","1","1","2","3","3","1990"
"14","Italy","Republic of Ireland",1,"3","3","0","0","4","0","6","3","0","3","0","2","2","3","1990"
"15","Republic of Ireland","Romania",1,"3","0","3","0","2","2","3","3","1","1","1","4","3","3","1990"
"16","Spain","Yugoslavia",0,"3","2","1","0","5","2","5","3","2","0","1","6","5","4","1990"
