"","Home","Away","Result","Played","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Argentina","Mexico",1,"3","2","1","0","8","1","7","3","2","1","0","8","1","2006"
"2","Brazil","France",0,"3","3","0","0","7","1","9","3","3","0","0","7","1","2006"
"3","Brazil","Ghana",1,"3","3","0","0","7","1","9","3","3","0","0","7","1","2006"
"4","England","Ecuador",1,"3","2","1","0","5","2","7","3","2","1","0","5","2","2006"
"5","England","Portugal",0,"3","2","1","0","5","2","7","3","2","1","0","5","2","2006"
"6","Germany","Sweden",1,"3","3","0","0","8","2","9","3","3","0","0","8","2","2006"
"7","Germany","Portugal",1,"3","3","0","0","8","2","9","3","3","0","0","8","2","2006"
"8","Germany","Argentina",1,"3","3","0","0","8","2","9","3","3","0","0","8","2","2006"
"9","Germany","Italy",0,"3","3","0","0","8","2","9","3","3","0","0","8","2","2006"
"10","Italy","France",1,"3","2","1","0","5","1","7","3","2","1","0","5","1","2006"
"11","Italy","Ukraine",1,"3","2","1","0","5","1","7","3","2","1","0","5","1","2006"
"12","Italy","Australia",1,"3","2","1","0","5","1","7","3","2","1","0","5","1","2006"
"13","Portugal","Netherlands",1,"3","3","0","0","5","1","9","3","3","0","0","5","1","2006"
"14","Portugal","France",0,"3","3","0","0","5","1","9","3","3","0","0","5","1","2006"
"15","Spain","France",0,"3","3","0","0","8","1","9","3","3","0","0","8","1","2006"
"16","Switzerland","Ukraine",0,"3","2","1","0","4","0","7","3","2","1","0","4","0","2006"
